"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd","prediction"
"theta047","0.47","-16.33394573035923","19.999992","0.833333","7.5","10.72","0.1077032961426901","10.714759"
"theta047","0.47","-16.33394573035923","19.999992","0.833333","12.5","10.97","0.1077032961426901","11.088254"
"theta047","0.47","-16.33394573035923","19.999992","0.833333","17.5","11.25","0.1077032961426901","11.277103"
"theta047","0.47","-16.33394573035923","21.0","0.875","2.5","3.65","0.1077032961426901","3.6556437"
"theta047","0.47","-16.33394573035923","21.0","0.875","7.5","10.68","0.1077032961426901","10.704742"
"theta047","0.47","-16.33394573035923","21.0","0.875","12.5","11.02","0.1077032961426901","11.084293"
"theta047","0.47","-16.33394573035923","21.0","0.875","17.5","11.31","0.1077032961426901","11.274797"
"theta047","0.47","-16.33394573035923","22.000008","0.916667","2.5","3.67","0.1077032961426901","3.6326623"
"theta047","0.47","-16.33394573035923","22.000008","0.916667","7.5","10.69","0.1077032961426901","10.694478"
"theta047","0.47","-16.33394573035923","22.000008","0.916667","12.5","11.09","0.1077032961426901","11.080284"
"theta047","0.47","-16.33394573035923","22.000008","0.916667","17.5","11.32","0.1077032961426901","11.2724695"
"theta047","0.47","-16.33394573035923","22.999992","0.958333","2.5","3.62","0.1077032961426901","3.610841"
"theta047","0.47","-16.33394573035923","22.999992","0.958333","7.5","10.73","0.1077032961426901","10.683953"
"theta047","0.47","-16.33394573035923","22.999992","0.958333","12.5","11.06","0.1077032961426901","11.076228"
"theta047","0.47","-16.33394573035923","22.999992","0.958333","17.5","11.22","0.1077032961426901","11.270121"
"theta047","0.47","-16.33394573035923","24.0","1.0","2.5","3.62","0.1077032961426901","3.5900688"
"theta047","0.47","-16.33394573035923","24.0","1.0","7.5","10.68","0.1077032961426901","10.673154"
"theta047","0.47","-16.33394573035923","24.0","1.0","12.5","11.02","0.1077032961426901","11.072124"
"theta047","0.47","-16.33394573035923","24.0","1.0","17.5","11.32","0.1077032961426901","11.267749"
"theta047","0.47","-16.33394573035923","25.000008","1.041667","2.5","3.48","0.1077032961426901","3.5702505"
"theta047","0.47","-16.33394573035923","25.000008","1.041667","7.5","10.63","0.1077032961426901","10.662067"
"theta047","0.47","-16.33394573035923","25.000008","1.041667","12.5","11.10","0.1077032961426901","11.067969"
"theta047","0.47","-16.33394573035923","25.000008","1.041667","17.5","11.30","0.1077032961426901","11.265355"
"theta047","0.47","-16.33394573035923","25.999992","1.083333","2.5","3.55","0.1077032961426901","3.5513036"
"theta047","0.47","-16.33394573035923","25.999992","1.083333","7.5","10.66","0.1077032961426901","10.650678"
"theta047","0.47","-16.33394573035923","25.999992","1.083333","12.5","11.13","0.1077032961426901","11.063765"
"theta047","0.47","-16.33394573035923","25.999992","1.083333","17.5","11.27","0.1077032961426901","11.262939"
"theta047","0.47","-16.33394573035923","27.0","1.125","2.5","3.58","0.1077032961426901","3.5331554"
"theta047","0.47","-16.33394573035923","27.0","1.125","7.5","10.68","0.1077032961426901","10.63897"
"theta047","0.47","-16.33394573035923","27.0","1.125","12.5","11.10","0.1077032961426901","11.059508"
"theta047","0.47","-16.33394573035923","27.0","1.125","17.5","11.29","0.1077032961426901","11.2605"
"theta047","0.47","-16.33394573035923","28.000008","1.166667","2.5","3.48","0.1077032961426901","3.5157413"
"theta047","0.47","-16.33394573035923","28.000008","1.166667","7.5","10.58","0.1077032961426901","10.626925"
"theta047","0.47","-16.33394573035923","28.000008","1.166667","12.5","11.06","0.1077032961426901","11.0552"
"theta047","0.47","-16.33394573035923","28.000008","1.166667","17.5","11.22","0.1077032961426901","11.2580385"
"theta047","0.47","-16.33394573035923","28.999992","1.208333","2.5","3.41","0.1077032961426901","3.4990063"
"theta047","0.47","-16.33394573035923","28.999992","1.208333","7.5","10.63","0.1077032961426901","10.614526"
"theta047","0.47","-16.33394573035923","28.999992","1.208333","12.5","10.97","0.1077032961426901","11.0508375"
"theta047","0.47","-16.33394573035923","28.999992","1.208333","17.5","11.30","0.1077032961426901","11.255553"
"theta047","0.47","-16.33394573035923","30.0","1.25","2.5","3.47","0.1077032961426901","3.4828994"
"theta047","0.47","-16.33394573035923","30.0","1.25","7.5","10.49","0.1077032961426901","10.601749"
"theta047","0.47","-16.33394573035923","30.0","1.25","12.5","11.05","0.1077032961426901","11.046422"
