"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd","prediction"
"theta020","0.2","-166.9363086307076","21.0","0.875","7.5","10.77","0.1077032961426901","10.769815"
"theta020","0.2","-166.9363086307076","21.0","0.875","12.5","10.89","0.1077032961426901","10.879538"
"theta020","0.2","-166.9363086307076","21.0","0.875","17.5","10.74","0.1077032961426901","10.933462"
"theta020","0.2","-166.9363086307076","22.000008","0.916667","2.5","10.11","0.1077032961426901","10.109608"
"theta020","0.2","-166.9363086307076","22.000008","0.916667","7.5","10.76","0.1077032961426901","10.772828"
"theta020","0.2","-166.9363086307076","22.000008","0.916667","12.5","10.84","0.1077032961426901","10.884104"
"theta020","0.2","-166.9363086307076","22.000008","0.916667","17.5","10.74","0.1077032961426901","10.938307"
"theta020","0.2","-166.9363086307076","22.999992","0.958333","2.5","10.10","0.1077032961426901","10.087411"
"theta020","0.2","-166.9363086307076","22.999992","0.958333","7.5","10.80","0.1077032961426901","10.77575"
"theta020","0.2","-166.9363086307076","22.999992","0.958333","12.5","10.95","0.1077032961426901","10.888599"
"theta020","0.2","-166.9363086307076","22.999992","0.958333","17.5","10.85","0.1077032961426901","10.9430895"
"theta020","0.2","-166.9363086307076","24.0","1.0","2.5","10.04","0.1077032961426901","10.063278"
"theta020","0.2","-166.9363086307076","24.0","1.0","7.5","10.81","0.1077032961426901","10.77858"
"theta020","0.2","-166.9363086307076","24.0","1.0","12.5","10.93","0.1077032961426901","10.893025"
"theta020","0.2","-166.9363086307076","24.0","1.0","17.5","10.71","0.1077032961426901","10.947811"
"theta020","0.2","-166.9363086307076","25.000008","1.041667","2.5","10.02","0.1077032961426901","10.036935"
"theta020","0.2","-166.9363086307076","25.000008","1.041667","7.5","10.75","0.1077032961426901","10.781317"
"theta020","0.2","-166.9363086307076","25.000008","1.041667","12.5","10.94","0.1077032961426901","10.897382"
"theta020","0.2","-166.9363086307076","25.000008","1.041667","17.5","10.76","0.1077032961426901","10.952472"
"theta020","0.2","-166.9363086307076","25.999992","1.083333","2.5","10.03","0.1077032961426901","10.008041"
"theta020","0.2","-166.9363086307076","25.999992","1.083333","7.5","10.82","0.1077032961426901","10.78396"
"theta020","0.2","-166.9363086307076","25.999992","1.083333","12.5","10.92","0.1077032961426901","10.901668"
"theta020","0.2","-166.9363086307076","25.999992","1.083333","17.5","10.72","0.1077032961426901","10.957072"
"theta020","0.2","-166.9363086307076","27.0","1.125","2.5","9.94","0.1077032961426901","9.976169"
"theta020","0.2","-166.9363086307076","27.0","1.125","7.5","10.79","0.1077032961426901","10.78651"
"theta020","0.2","-166.9363086307076","27.0","1.125","12.5","10.91","0.1077032961426901","10.905884"
"theta020","0.2","-166.9363086307076","27.0","1.125","17.5","10.76","0.1077032961426901","10.961613"
"theta020","0.2","-166.9363086307076","28.000008","1.166667","2.5","9.88","0.1077032961426901","9.940768"
"theta020","0.2","-166.9363086307076","28.000008","1.166667","7.5","10.79","0.1077032961426901","10.788965"
"theta020","0.2","-166.9363086307076","28.000008","1.166667","12.5","10.98","0.1077032961426901","10.91003"
"theta020","0.2","-166.9363086307076","28.000008","1.166667","17.5","10.77","0.1077032961426901","10.966093"
"theta020","0.2","-166.9363086307076","28.999992","1.208333","2.5","9.85","0.1077032961426901","9.901125"
"theta020","0.2","-166.9363086307076","28.999992","1.208333","7.5","10.75","0.1077032961426901","10.791326"
"theta020","0.2","-166.9363086307076","28.999992","1.208333","12.5","10.97","0.1077032961426901","10.914108"
"theta020","0.2","-166.9363086307076","28.999992","1.208333","17.5","10.87","0.1077032961426901","10.970514"
"theta020","0.2","-166.9363086307076","30.0","1.25","2.5","9.87","0.1077032961426901","9.856272"
"theta020","0.2","-166.9363086307076","30.0","1.25","7.5","10.79","0.1077032961426901","10.793589"
"theta020","0.2","-166.9363086307076","30.0","1.25","12.5","10.95","0.1077032961426901","10.918117"
"theta020","0.2","-166.9363086307076","30.0","1.25","17.5","10.84","0.1077032961426901","10.974875"
"theta020","0.2","-166.9363086307076","31.000008","1.291667","2.5","9.75","0.1077032961426901","9.804869"
"theta020","0.2","-166.9363086307076","31.000008","1.291667","7.5","10.82","0.1077032961426901","10.795755"
"theta020","0.2","-166.9363086307076","31.000008","1.291667","12.5","10.88","0.1077032961426901","10.922056"
"theta020","0.2","-166.9363086307076","31.000008","1.291667","17.5","10.78","0.1077032961426901","10.979178"
"theta020","0.2","-166.9363086307076","31.999992","1.333333","2.5","9.79","0.1077032961426901","9.744971"
"theta020","0.2","-166.9363086307076","31.999992","1.333333","7.5","10.88","0.1077032961426901","10.797825"
"theta020","0.2","-166.9363086307076","31.999992","1.333333","12.5","10.94","0.1077032961426901","10.925926"
"theta020","0.2","-166.9363086307076","31.999992","1.333333","17.5","10.85","0.1077032961426901","10.98342"
"theta020","0.2","-166.9363086307076","33.0","1.375","2.5","9.62","0.1077032961426901","9.673608"
"theta020","0.2","-166.9363086307076","33.0","1.375","7.5","10.86","0.1077032961426901","10.799794"
"theta020","0.2","-166.9363086307076","33.0","1.375","12.5","10.89","0.1077032961426901","10.929728"
"theta020","0.2","-166.9363086307076","33.0","1.375","17.5","10.95","0.1077032961426901","10.987606"
"theta020","0.2","-166.9363086307076","34.000007999999994","1.416667","2.5","9.60","0.1077032961426901","9.585881"
"theta020","0.2","-166.9363086307076","34.000007999999994","1.416667","7.5","10.90","0.1077032961426901","10.801666"
"theta020","0.2","-166.9363086307076","34.000007999999994","1.416667","12.5","10.90","0.1077032961426901","10.933459"
"theta020","0.2","-166.9363086307076","34.000007999999994","1.416667","17.5","10.87","0.1077032961426901","10.991734"
"theta020","0.2","-166.9363086307076","34.999992000000006","1.458333","2.5","9.46","0.1077032961426901","9.472889"
"theta020","0.2","-166.9363086307076","34.999992000000006","1.458333","7.5","10.82","0.1077032961426901","10.803437"
"theta020","0.2","-166.9363086307076","34.999992000000006","1.458333","12.5","10.92","0.1077032961426901","10.937122"
"theta020","0.2","-166.9363086307076","34.999992000000006","1.458333","17.5","10.88","0.1077032961426901","10.995801"
"theta020","0.2","-166.9363086307076","36.0","1.5","2.5","9.25","0.1077032961426901","9.3155365"
"theta020","0.2","-166.9363086307076","36.0","1.5","7.5","10.69","0.1077032961426901","10.805107"
"theta020","0.2","-166.9363086307076","36.0","1.5","12.5","10.89","0.1077032961426901","10.940718"
"theta020","0.2","-166.9363086307076","36.0","1.5","17.5","10.90","0.1077032961426901","10.999812"
"theta020","0.2","-166.9363086307076","37.000008","1.541667","2.5","9.07","0.1077032961426901","9.058745"
"theta020","0.2","-166.9363086307076","37.000008","1.541667","7.5","10.80","0.1077032961426901","10.806676"
"theta020","0.2","-166.9363086307076","37.000008","1.541667","12.5","10.89","0.1077032961426901","10.944243"
"theta020","0.2","-166.9363086307076","37.000008","1.541667","17.5","10.95","0.1077032961426901","11.003766"
"theta020","0.2","-166.9363086307076","37.999992000000006","1.583333","2.5","8.51","0.1077032961426901","8.3057375"
"theta020","0.2","-166.9363086307076","37.999992000000006","1.583333","7.5","10.82","0.1077032961426901","10.808141"
"theta020","0.2","-166.9363086307076","37.999992000000006","1.583333","12.5","10.92","0.1077032961426901","10.9477005"
"theta020","0.2","-166.9363086307076","37.999992000000006","1.583333","17.5","10.92","0.1077032961426901","11.007662"
"theta020","0.2","-166.9363086307076","39.0","1.625","2.5","5.22","0.1077032961426901","5.1183834"
"theta020","0.2","-166.9363086307076","39.0","1.625","7.5","10.81","0.1077032961426901","10.809503"
"theta020","0.2","-166.9363086307076","39.0","1.625","12.5","11.00","0.1077032961426901","10.95109"
"theta020","0.2","-166.9363086307076","39.0","1.625","17.5","10.89","0.1077032961426901","11.0115"
"theta020","0.2","-166.9363086307076","40.000008","1.666667","2.5","4.85","0.1077032961426901","4.7584553"
"theta020","0.2","-166.9363086307076","40.000008","1.666667","7.5","10.89","0.1077032961426901","10.81076"
"theta020","0.2","-166.9363086307076","40.000008","1.666667","12.5","10.95","0.1077032961426901","10.9544115"
"theta020","0.2","-166.9363086307076","40.000008","1.666667","17.5","10.95","0.1077032961426901","11.015283"
"theta020","0.2","-166.9363086307076","40.999992000000006","1.708333","2.5","4.63","0.1077032961426901","4.5612736"
"theta020","0.2","-166.9363086307076","40.999992000000006","1.708333","7.5","10.85","0.1077032961426901","10.811911"
"theta020","0.2","-166.9363086307076","40.999992000000006","1.708333","12.5","10.99","0.1077032961426901","10.9576645"
"theta020","0.2","-166.9363086307076","40.999992000000006","1.708333","17.5","10.96","0.1077032961426901","11.019008"
"theta020","0.2","-166.9363086307076","42.0","1.75","2.5","4.52","0.1077032961426901","4.423922"
"theta020","0.2","-166.9363086307076","42.0","1.75","7.5","10.85","0.1077032961426901","10.812955"
"theta020","0.2","-166.9363086307076","42.0","1.75","12.5","10.93","0.1077032961426901","10.960848"
"theta020","0.2","-166.9363086307076","42.0","1.75","17.5","11.06","0.1077032961426901","11.022676"
"theta020","0.2","-166.9363086307076","43.000008","1.791667","2.5","4.34","0.1077032961426901","4.318004"
"theta020","0.2","-166.9363086307076","43.000008","1.791667","7.5","10.72","0.1077032961426901","10.813891"
"theta020","0.2","-166.9363086307076","43.000008","1.791667","12.5","10.99","0.1077032961426901","10.963964"
"theta020","0.2","-166.9363086307076","43.000008","1.791667","17.5","11.04","0.1077032961426901","11.026289"
"theta020","0.2","-166.9363086307076","43.999992000000006","1.833333","2.5","4.27","0.1077032961426901","4.231522"
"theta020","0.2","-166.9363086307076","43.999992000000006","1.833333","7.5","10.84","0.1077032961426901","10.814719"
"theta020","0.2","-166.9363086307076","43.999992000000006","1.833333","12.5","11.06","0.1077032961426901","10.967012"
"theta020","0.2","-166.9363086307076","43.999992000000006","1.833333","17.5","10.91","0.1077032961426901","11.029846"
"theta020","0.2","-166.9363086307076","45.0","1.875","2.5","4.17","0.1077032961426901","4.158265"
"theta020","0.2","-166.9363086307076","45.0","1.875","7.5","10.81","0.1077032961426901","10.815436"
"theta020","0.2","-166.9363086307076","45.0","1.875","12.5","11.00","0.1077032961426901","10.969993"
"theta020","0.2","-166.9363086307076","45.0","1.875","17.5","10.91","0.1077032961426901","11.033346"
"theta020","0.2","-166.9363086307076","46.000008","1.916667","2.5","4.07","0.1077032961426901","4.0946126"
"theta020","0.2","-166.9363086307076","46.000008","1.916667","7.5","10.76","0.1077032961426901","10.816042"
"theta020","0.2","-166.9363086307076","46.000008","1.916667","12.5","11.08","0.1077032961426901","10.972905"
"theta020","0.2","-166.9363086307076","46.000008","1.916667","17.5","11.03","0.1077032961426901","11.036792"
"theta020","0.2","-166.9363086307076","46.999992000000006","1.958333","2.5","4.18","0.1077032961426901","4.0382543"
"theta020","0.2","-166.9363086307076","46.999992000000006","1.958333","7.5","10.82","0.1077032961426901","10.816535"
"theta020","0.2","-166.9363086307076","46.999992000000006","1.958333","12.5","11.04","0.1077032961426901","10.975749"
"theta020","0.2","-166.9363086307076","46.999992000000006","1.958333","17.5","10.99","0.1077032961426901","11.040181"
"theta020","0.2","-166.9363086307076","48.0","2.0","2.5","3.97","0.1077032961426901","3.9876285"
"theta020","0.2","-166.9363086307076","48.0","2.0","7.5","10.74","0.1077032961426901","10.8169155"
"theta020","0.2","-166.9363086307076","48.0","2.0","12.5","11.02","0.1077032961426901","10.978525"
"theta020","0.2","-166.9363086307076","48.0","2.0","17.5","11.06","0.1077032961426901","11.043515"
"theta020","0.2","-166.9363086307076","49.000008","2.041667","2.5","4.00","0.1077032961426901","3.941638"
"theta020","0.2","-166.9363086307076","49.000008","2.041667","7.5","10.81","0.1077032961426901","10.81718"
"theta020","0.2","-166.9363086307076","49.000008","2.041667","12.5","10.98","0.1077032961426901","10.981234"
"theta020","0.2","-166.9363086307076","49.000008","2.041667","17.5","10.97","0.1077032961426901","11.046796"
"theta020","0.2","-166.9363086307076","49.999992000000006","2.083333","2.5","3.90","0.1077032961426901","3.899473"
"theta020","0.2","-166.9363086307076","49.999992000000006","2.083333","7.5","10.84","0.1077032961426901","10.8173275"
"theta020","0.2","-166.9363086307076","49.999992000000006","2.083333","12.5","10.98","0.1077032961426901","10.983874"
"theta020","0.2","-166.9363086307076","49.999992000000006","2.083333","17.5","10.90","0.1077032961426901","11.05002"
"theta020","0.2","-166.9363086307076","51.0","2.125","2.5","3.95","0.1077032961426901","3.8605218"
"theta020","0.2","-166.9363086307076","51.0","2.125","7.5","10.74","0.1077032961426901","10.817358"
"theta020","0.2","-166.9363086307076","51.0","2.125","12.5","11.01","0.1077032961426901","10.986447"
"theta020","0.2","-166.9363086307076","51.0","2.125","17.5","11.01","0.1077032961426901","11.05319"
"theta020","0.2","-166.9363086307076","52.000008","2.166667","2.5","3.86","0.1077032961426901","3.8243132"
"theta020","0.2","-166.9363086307076","52.000008","2.166667","7.5","10.80","0.1077032961426901","10.817268"
"theta020","0.2","-166.9363086307076","52.000008","2.166667","12.5","11.09","0.1077032961426901","10.988954"
"theta020","0.2","-166.9363086307076","52.000008","2.166667","17.5","10.96","0.1077032961426901","11.056306"
"theta020","0.2","-166.9363086307076","52.999992000000006","2.208333","2.5","3.79","0.1077032961426901","3.7904768"
"theta020","0.2","-166.9363086307076","52.999992000000006","2.208333","7.5","10.80","0.1077032961426901","10.817059"
"theta020","0.2","-166.9363086307076","52.999992000000006","2.208333","12.5","10.99","0.1077032961426901","10.99139"
"theta020","0.2","-166.9363086307076","52.999992000000006","2.208333","17.5","11.08","0.1077032961426901","11.059367"
"theta020","0.2","-166.9363086307076","54.0","2.25","2.5","3.84","0.1077032961426901","3.758711"
"theta020","0.2","-166.9363086307076","54.0","2.25","7.5","10.78","0.1077032961426901","10.816725"
"theta020","0.2","-166.9363086307076","54.0","2.25","12.5","11.11","0.1077032961426901","10.99376"
"theta020","0.2","-166.9363086307076","54.0","2.25","17.5","11.08","0.1077032961426901","11.062375"
"theta020","0.2","-166.9363086307076","55.000008","2.291667","2.5","3.84","0.1077032961426901","3.7287734"
"theta020","0.2","-166.9363086307076","55.000008","2.291667","7.5","10.76","0.1077032961426901","10.816267"
"theta020","0.2","-166.9363086307076","55.000008","2.291667","12.5","10.99","0.1077032961426901","10.996062"
"theta020","0.2","-166.9363086307076","55.000008","2.291667","17.5","11.08","0.1077032961426901","11.065329"
"theta020","0.2","-166.9363086307076","55.999992000000006","2.333333","2.5","3.84","0.1077032961426901","3.7004616"
"theta020","0.2","-166.9363086307076","55.999992000000006","2.333333","7.5","10.70","0.1077032961426901","10.815684"
"theta020","0.2","-166.9363086307076","55.999992000000006","2.333333","12.5","10.99","0.1077032961426901","10.998297"
"theta020","0.2","-166.9363086307076","55.999992000000006","2.333333","17.5","11.06","0.1077032961426901","11.068228"
"theta020","0.2","-166.9363086307076","57.0","2.375","2.5","3.67","0.1077032961426901","3.673608"
"theta020","0.2","-166.9363086307076","57.0","2.375","7.5","10.79","0.1077032961426901","10.814973"
"theta020","0.2","-166.9363086307076","57.0","2.375","12.5","11.00","0.1077032961426901","11.000464"
"theta020","0.2","-166.9363086307076","57.0","2.375","17.5","11.06","0.1077032961426901","11.071075"
"theta020","0.2","-166.9363086307076","58.000008","2.416667","2.5","3.66","0.1077032961426901","3.64807"
"theta020","0.2","-166.9363086307076","58.000008","2.416667","7.5","10.77","0.1077032961426901","10.814133"
"theta020","0.2","-166.9363086307076","58.000008","2.416667","12.5","11.04","0.1077032961426901","11.002564"
"theta020","0.2","-166.9363086307076","58.000008","2.416667","17.5","11.18","0.1077032961426901","11.073868"
"theta020","0.2","-166.9363086307076","58.999992000000006","2.458333","2.5","3.68","0.1077032961426901","3.623728"
"theta020","0.2","-166.9363086307076","58.999992000000006","2.458333","7.5","10.81","0.1077032961426901","10.813161"
"theta020","0.2","-166.9363086307076","58.999992000000006","2.458333","12.5","11.06","0.1077032961426901","11.004596"
"theta020","0.2","-166.9363086307076","58.999992000000006","2.458333","17.5","11.11","0.1077032961426901","11.076608"
"theta020","0.2","-166.9363086307076","60.0","2.5","2.5","3.68","0.1077032961426901","3.6004772"
"theta020","0.2","-166.9363086307076","60.0","2.5","7.5","10.88","0.1077032961426901","10.812054"
