"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd"
"theta047","0.47","-16.33394573035923","30.0","1.25","17.5","11.24","0.1077032961426901"
"theta047","0.47","-16.33394573035923","31.000008","1.291667","2.5","3.44","0.1077032961426901"
"theta047","0.47","-16.33394573035923","31.000008","1.291667","7.5","10.51","0.1077032961426901"
"theta047","0.47","-16.33394573035923","31.000008","1.291667","12.5","11.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","31.000008","1.291667","17.5","11.22","0.1077032961426901"
"theta047","0.47","-16.33394573035923","31.999992","1.333333","2.5","3.37","0.1077032961426901"
"theta047","0.47","-16.33394573035923","31.999992","1.333333","7.5","10.66","0.1077032961426901"
"theta047","0.47","-16.33394573035923","31.999992","1.333333","12.5","11.03","0.1077032961426901"
"theta047","0.47","-16.33394573035923","31.999992","1.333333","17.5","11.23","0.1077032961426901"
"theta047","0.47","-16.33394573035923","33.0","1.375","2.5","3.46","0.1077032961426901"
"theta047","0.47","-16.33394573035923","33.0","1.375","7.5","10.57","0.1077032961426901"
"theta047","0.47","-16.33394573035923","33.0","1.375","12.5","10.99","0.1077032961426901"
"theta047","0.47","-16.33394573035923","33.0","1.375","17.5","11.29","0.1077032961426901"
"theta047","0.47","-16.33394573035923","34.000007999999994","1.416667","2.5","3.40","0.1077032961426901"
"theta047","0.47","-16.33394573035923","34.000007999999994","1.416667","7.5","10.56","0.1077032961426901"
"theta047","0.47","-16.33394573035923","34.000007999999994","1.416667","12.5","11.05","0.1077032961426901"
"theta047","0.47","-16.33394573035923","34.000007999999994","1.416667","17.5","11.26","0.1077032961426901"
"theta047","0.47","-16.33394573035923","34.999992000000006","1.458333","2.5","3.36","0.1077032961426901"
"theta047","0.47","-16.33394573035923","34.999992000000006","1.458333","7.5","10.49","0.1077032961426901"
"theta047","0.47","-16.33394573035923","34.999992000000006","1.458333","12.5","10.96","0.1077032961426901"
"theta047","0.47","-16.33394573035923","34.999992000000006","1.458333","17.5","11.24","0.1077032961426901"
"theta047","0.47","-16.33394573035923","36.0","1.5","2.5","3.41","0.1077032961426901"
"theta047","0.47","-16.33394573035923","36.0","1.5","7.5","10.50","0.1077032961426901"
"theta047","0.47","-16.33394573035923","36.0","1.5","12.5","11.00","0.1077032961426901"
"theta047","0.47","-16.33394573035923","36.0","1.5","17.5","11.23","0.1077032961426901"
"theta047","0.47","-16.33394573035923","37.000008","1.541667","2.5","3.36","0.1077032961426901"
"theta047","0.47","-16.33394573035923","37.000008","1.541667","7.5","10.47","0.1077032961426901"
"theta047","0.47","-16.33394573035923","37.000008","1.541667","12.5","10.97","0.1077032961426901"
"theta047","0.47","-16.33394573035923","37.000008","1.541667","17.5","11.20","0.1077032961426901"
"theta047","0.47","-16.33394573035923","37.999992000000006","1.583333","2.5","3.33","0.1077032961426901"
"theta047","0.47","-16.33394573035923","37.999992000000006","1.583333","7.5","10.44","0.1077032961426901"
"theta047","0.47","-16.33394573035923","37.999992000000006","1.583333","12.5","10.97","0.1077032961426901"
"theta047","0.47","-16.33394573035923","37.999992000000006","1.583333","17.5","11.26","0.1077032961426901"
"theta047","0.47","-16.33394573035923","39.0","1.625","2.5","3.30","0.1077032961426901"
"theta047","0.47","-16.33394573035923","39.0","1.625","7.5","10.48","0.1077032961426901"
"theta047","0.47","-16.33394573035923","39.0","1.625","12.5","10.96","0.1077032961426901"
"theta047","0.47","-16.33394573035923","39.0","1.625","17.5","11.21","0.1077032961426901"
"theta047","0.47","-16.33394573035923","40.000008","1.666667","2.5","3.31","0.1077032961426901"
"theta047","0.47","-16.33394573035923","40.000008","1.666667","7.5","10.44","0.1077032961426901"
"theta047","0.47","-16.33394573035923","40.000008","1.666667","12.5","10.97","0.1077032961426901"
"theta047","0.47","-16.33394573035923","40.000008","1.666667","17.5","11.31","0.1077032961426901"
"theta047","0.47","-16.33394573035923","40.999992000000006","1.708333","2.5","3.32","0.1077032961426901"
"theta047","0.47","-16.33394573035923","40.999992000000006","1.708333","7.5","10.37","0.1077032961426901"
"theta047","0.47","-16.33394573035923","40.999992000000006","1.708333","12.5","11.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","40.999992000000006","1.708333","17.5","11.19","0.1077032961426901"
"theta047","0.47","-16.33394573035923","42.0","1.75","2.5","3.34","0.1077032961426901"
"theta047","0.47","-16.33394573035923","42.0","1.75","7.5","10.34","0.1077032961426901"
"theta047","0.47","-16.33394573035923","42.0","1.75","12.5","11.05","0.1077032961426901"
"theta047","0.47","-16.33394573035923","42.0","1.75","17.5","11.21","0.1077032961426901"
"theta047","0.47","-16.33394573035923","43.000008","1.791667","2.5","3.19","0.1077032961426901"
"theta047","0.47","-16.33394573035923","43.000008","1.791667","7.5","10.41","0.1077032961426901"
"theta047","0.47","-16.33394573035923","43.000008","1.791667","12.5","10.91","0.1077032961426901"
"theta047","0.47","-16.33394573035923","43.000008","1.791667","17.5","11.24","0.1077032961426901"
"theta047","0.47","-16.33394573035923","43.999992000000006","1.833333","2.5","3.35","0.1077032961426901"
"theta047","0.47","-16.33394573035923","43.999992000000006","1.833333","7.5","10.36","0.1077032961426901"
"theta047","0.47","-16.33394573035923","43.999992000000006","1.833333","12.5","10.98","0.1077032961426901"
"theta047","0.47","-16.33394573035923","43.999992000000006","1.833333","17.5","11.20","0.1077032961426901"
"theta047","0.47","-16.33394573035923","45.0","1.875","2.5","3.25","0.1077032961426901"
"theta047","0.47","-16.33394573035923","45.0","1.875","7.5","10.34","0.1077032961426901"
"theta047","0.47","-16.33394573035923","45.0","1.875","12.5","10.94","0.1077032961426901"
"theta047","0.47","-16.33394573035923","45.0","1.875","17.5","11.34","0.1077032961426901"
"theta047","0.47","-16.33394573035923","46.000008","1.916667","2.5","3.28","0.1077032961426901"
"theta047","0.47","-16.33394573035923","46.000008","1.916667","7.5","10.24","0.1077032961426901"
"theta047","0.47","-16.33394573035923","46.000008","1.916667","12.5","10.95","0.1077032961426901"
"theta047","0.47","-16.33394573035923","46.000008","1.916667","17.5","11.28","0.1077032961426901"
"theta047","0.47","-16.33394573035923","46.999992000000006","1.958333","2.5","3.15","0.1077032961426901"
"theta047","0.47","-16.33394573035923","46.999992000000006","1.958333","7.5","10.27","0.1077032961426901"
"theta047","0.47","-16.33394573035923","46.999992000000006","1.958333","12.5","11.01","0.1077032961426901"
"theta047","0.47","-16.33394573035923","46.999992000000006","1.958333","17.5","11.23","0.1077032961426901"
"theta047","0.47","-16.33394573035923","48.0","2.0","2.5","3.30","0.1077032961426901"
"theta047","0.47","-16.33394573035923","48.0","2.0","7.5","10.24","0.1077032961426901"
"theta047","0.47","-16.33394573035923","48.0","2.0","12.5","10.87","0.1077032961426901"
"theta047","0.47","-16.33394573035923","48.0","2.0","17.5","11.24","0.1077032961426901"
"theta047","0.47","-16.33394573035923","49.000008","2.041667","2.5","3.18","0.1077032961426901"
"theta047","0.47","-16.33394573035923","49.000008","2.041667","7.5","10.26","0.1077032961426901"
"theta047","0.47","-16.33394573035923","49.000008","2.041667","12.5","10.98","0.1077032961426901"
"theta047","0.47","-16.33394573035923","49.000008","2.041667","17.5","11.20","0.1077032961426901"
"theta047","0.47","-16.33394573035923","49.999992000000006","2.083333","2.5","3.17","0.1077032961426901"
"theta047","0.47","-16.33394573035923","49.999992000000006","2.083333","7.5","10.22","0.1077032961426901"
"theta047","0.47","-16.33394573035923","49.999992000000006","2.083333","12.5","10.97","0.1077032961426901"
"theta047","0.47","-16.33394573035923","49.999992000000006","2.083333","17.5","11.10","0.1077032961426901"
"theta047","0.47","-16.33394573035923","51.0","2.125","2.5","3.16","0.1077032961426901"
"theta047","0.47","-16.33394573035923","51.0","2.125","7.5","10.24","0.1077032961426901"
"theta047","0.47","-16.33394573035923","51.0","2.125","12.5","10.91","0.1077032961426901"
"theta047","0.47","-16.33394573035923","51.0","2.125","17.5","11.07","0.1077032961426901"
"theta047","0.47","-16.33394573035923","52.000008","2.166667","2.5","3.13","0.1077032961426901"
"theta047","0.47","-16.33394573035923","52.000008","2.166667","7.5","10.21","0.1077032961426901"
"theta047","0.47","-16.33394573035923","52.000008","2.166667","12.5","10.92","0.1077032961426901"
"theta047","0.47","-16.33394573035923","52.000008","2.166667","17.5","11.20","0.1077032961426901"
"theta047","0.47","-16.33394573035923","52.999992000000006","2.208333","2.5","3.20","0.1077032961426901"
"theta047","0.47","-16.33394573035923","52.999992000000006","2.208333","7.5","10.10","0.1077032961426901"
"theta047","0.47","-16.33394573035923","52.999992000000006","2.208333","12.5","10.90","0.1077032961426901"
"theta047","0.47","-16.33394573035923","52.999992000000006","2.208333","17.5","11.21","0.1077032961426901"
"theta047","0.47","-16.33394573035923","54.0","2.25","2.5","3.21","0.1077032961426901"
"theta047","0.47","-16.33394573035923","54.0","2.25","7.5","9.97","0.1077032961426901"
"theta047","0.47","-16.33394573035923","54.0","2.25","12.5","10.99","0.1077032961426901"
"theta047","0.47","-16.33394573035923","54.0","2.25","17.5","11.18","0.1077032961426901"
"theta047","0.47","-16.33394573035923","55.000008","2.291667","2.5","3.13","0.1077032961426901"
"theta047","0.47","-16.33394573035923","55.000008","2.291667","7.5","10.03","0.1077032961426901"
"theta047","0.47","-16.33394573035923","55.000008","2.291667","12.5","10.89","0.1077032961426901"
"theta047","0.47","-16.33394573035923","55.000008","2.291667","17.5","11.15","0.1077032961426901"
"theta047","0.47","-16.33394573035923","55.999992000000006","2.333333","2.5","3.13","0.1077032961426901"
"theta047","0.47","-16.33394573035923","55.999992000000006","2.333333","7.5","9.89","0.1077032961426901"
"theta047","0.47","-16.33394573035923","55.999992000000006","2.333333","12.5","10.88","0.1077032961426901"
"theta047","0.47","-16.33394573035923","55.999992000000006","2.333333","17.5","11.21","0.1077032961426901"
"theta047","0.47","-16.33394573035923","57.0","2.375","2.5","3.27","0.1077032961426901"
"theta047","0.47","-16.33394573035923","57.0","2.375","7.5","9.98","0.1077032961426901"
"theta047","0.47","-16.33394573035923","57.0","2.375","12.5","10.84","0.1077032961426901"
"theta047","0.47","-16.33394573035923","57.0","2.375","17.5","11.10","0.1077032961426901"
"theta047","0.47","-16.33394573035923","58.000008","2.416667","2.5","3.07","0.1077032961426901"
"theta047","0.47","-16.33394573035923","58.000008","2.416667","7.5","9.78","0.1077032961426901"
"theta047","0.47","-16.33394573035923","58.000008","2.416667","12.5","10.89","0.1077032961426901"
"theta047","0.47","-16.33394573035923","58.000008","2.416667","17.5","11.15","0.1077032961426901"
"theta047","0.47","-16.33394573035923","58.999992000000006","2.458333","2.5","3.15","0.1077032961426901"
"theta047","0.47","-16.33394573035923","58.999992000000006","2.458333","7.5","9.66","0.1077032961426901"
"theta047","0.47","-16.33394573035923","58.999992000000006","2.458333","12.5","10.84","0.1077032961426901"
"theta047","0.47","-16.33394573035923","58.999992000000006","2.458333","17.5","11.14","0.1077032961426901"
"theta047","0.47","-16.33394573035923","60.0","2.5","2.5","3.12","0.1077032961426901"
"theta047","0.47","-16.33394573035923","60.0","2.5","7.5","9.61","0.1077032961426901"
"theta047","0.47","-16.33394573035923","60.0","2.5","12.5","10.88","0.1077032961426901"
"theta047","0.47","-16.33394573035923","60.0","2.5","17.5","11.15","0.1077032961426901"
"theta047","0.47","-16.33394573035923","61.000008","2.541667","2.5","3.21","0.1077032961426901"
"theta047","0.47","-16.33394573035923","61.000008","2.541667","7.5","9.48","0.1077032961426901"
"theta047","0.47","-16.33394573035923","61.000008","2.541667","12.5","10.89","0.1077032961426901"
"theta047","0.47","-16.33394573035923","61.000008","2.541667","17.5","11.16","0.1077032961426901"
"theta047","0.47","-16.33394573035923","61.999992000000006","2.583333","2.5","3.07","0.1077032961426901"
"theta047","0.47","-16.33394573035923","61.999992000000006","2.583333","7.5","9.22","0.1077032961426901"
"theta047","0.47","-16.33394573035923","61.999992000000006","2.583333","12.5","10.86","0.1077032961426901"
"theta047","0.47","-16.33394573035923","61.999992000000006","2.583333","17.5","11.17","0.1077032961426901"
"theta047","0.47","-16.33394573035923","63.0","2.625","2.5","3.05","0.1077032961426901"
"theta047","0.47","-16.33394573035923","63.0","2.625","7.5","8.45","0.1077032961426901"
"theta047","0.47","-16.33394573035923","63.0","2.625","12.5","10.85","0.1077032961426901"
"theta047","0.47","-16.33394573035923","63.0","2.625","17.5","11.22","0.1077032961426901"
"theta047","0.47","-16.33394573035923","64.000008","2.666667","2.5","3.06","0.1077032961426901"
"theta047","0.47","-16.33394573035923","64.000008","2.666667","7.5","5.01","0.1077032961426901"
"theta047","0.47","-16.33394573035923","64.000008","2.666667","12.5","10.88","0.1077032961426901"
"theta047","0.47","-16.33394573035923","64.000008","2.666667","17.5","11.03","0.1077032961426901"
"theta047","0.47","-16.33394573035923","64.999992","2.708333","2.5","3.02","0.1077032961426901"
"theta047","0.47","-16.33394573035923","64.999992","2.708333","7.5","4.71","0.1077032961426901"
"theta047","0.47","-16.33394573035923","64.999992","2.708333","12.5","10.79","0.1077032961426901"
"theta047","0.47","-16.33394573035923","64.999992","2.708333","17.5","11.16","0.1077032961426901"
"theta047","0.47","-16.33394573035923","66.0","2.75","2.5","3.07","0.1077032961426901"
"theta047","0.47","-16.33394573035923","66.0","2.75","7.5","4.39","0.1077032961426901"
"theta047","0.47","-16.33394573035923","66.0","2.75","12.5","10.85","0.1077032961426901"
"theta047","0.47","-16.33394573035923","66.0","2.75","17.5","11.14","0.1077032961426901"
"theta047","0.47","-16.33394573035923","67.000008","2.791667","2.5","3.07","0.1077032961426901"
"theta047","0.47","-16.33394573035923","67.000008","2.791667","7.5","4.31","0.1077032961426901"
"theta047","0.47","-16.33394573035923","67.000008","2.791667","12.5","10.79","0.1077032961426901"
"theta047","0.47","-16.33394573035923","67.000008","2.791667","17.5","11.14","0.1077032961426901"
"theta047","0.47","-16.33394573035923","67.999992","2.833333","2.5","3.13","0.1077032961426901"
"theta047","0.47","-16.33394573035923","67.999992","2.833333","7.5","4.13","0.1077032961426901"
"theta047","0.47","-16.33394573035923","67.999992","2.833333","12.5","10.83","0.1077032961426901"
"theta047","0.47","-16.33394573035923","67.999992","2.833333","17.5","11.16","0.1077032961426901"
"theta047","0.47","-16.33394573035923","69.0","2.875","2.5","3.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","69.0","2.875","7.5","4.13","0.1077032961426901"
"theta047","0.47","-16.33394573035923","69.0","2.875","12.5","10.79","0.1077032961426901"
"theta047","0.47","-16.33394573035923","69.0","2.875","17.5","11.13","0.1077032961426901"
"theta047","0.47","-16.33394573035923","70.000008","2.916667","2.5","3.08","0.1077032961426901"
"theta047","0.47","-16.33394573035923","70.000008","2.916667","7.5","4.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","70.000008","2.916667","12.5","10.78","0.1077032961426901"
"theta047","0.47","-16.33394573035923","70.000008","2.916667","17.5","11.15","0.1077032961426901"
"theta047","0.47","-16.33394573035923","70.999992","2.958333","2.5","3.06","0.1077032961426901"
"theta047","0.47","-16.33394573035923","70.999992","2.958333","7.5","4.02","0.1077032961426901"
"theta047","0.47","-16.33394573035923","70.999992","2.958333","12.5","10.78","0.1077032961426901"
"theta047","0.47","-16.33394573035923","70.999992","2.958333","17.5","11.20","0.1077032961426901"
"theta047","0.47","-16.33394573035923","72.0","3.0","2.5","3.02","0.1077032961426901"
"theta047","0.47","-16.33394573035923","72.0","3.0","7.5","3.91","0.1077032961426901"
"theta047","0.47","-16.33394573035923","72.0","3.0","12.5","10.78","0.1077032961426901"
"theta047","0.47","-16.33394573035923","72.0","3.0","17.5","11.15","0.1077032961426901"
"theta047","0.47","-16.33394573035923","73.000008","3.041667","2.5","3.08","0.1077032961426901"
"theta047","0.47","-16.33394573035923","73.000008","3.041667","7.5","3.86","0.1077032961426901"
"theta047","0.47","-16.33394573035923","73.000008","3.041667","12.5","10.81","0.1077032961426901"
"theta047","0.47","-16.33394573035923","73.000008","3.041667","17.5","11.09","0.1077032961426901"
"theta047","0.47","-16.33394573035923","73.999992","3.083333","2.5","2.92","0.1077032961426901"
"theta047","0.47","-16.33394573035923","73.999992","3.083333","7.5","3.85","0.1077032961426901"
"theta047","0.47","-16.33394573035923","73.999992","3.083333","12.5","10.67","0.1077032961426901"
"theta047","0.47","-16.33394573035923","73.999992","3.083333","17.5","11.11","0.1077032961426901"
"theta047","0.47","-16.33394573035923","75.0","3.125","2.5","3.02","0.1077032961426901"
"theta047","0.47","-16.33394573035923","75.0","3.125","7.5","3.83","0.1077032961426901"
"theta047","0.47","-16.33394573035923","75.0","3.125","12.5","10.72","0.1077032961426901"
"theta047","0.47","-16.33394573035923","75.0","3.125","17.5","11.16","0.1077032961426901"
"theta047","0.47","-16.33394573035923","76.000008","3.166667","2.5","3.05","0.1077032961426901"
"theta047","0.47","-16.33394573035923","76.000008","3.166667","7.5","3.77","0.1077032961426901"
"theta047","0.47","-16.33394573035923","76.000008","3.166667","12.5","10.73","0.1077032961426901"
"theta047","0.47","-16.33394573035923","76.000008","3.166667","17.5","11.14","0.1077032961426901"
"theta047","0.47","-16.33394573035923","76.999992","3.208333","2.5","3.08","0.1077032961426901"
"theta047","0.47","-16.33394573035923","76.999992","3.208333","7.5","3.75","0.1077032961426901"
"theta047","0.47","-16.33394573035923","76.999992","3.208333","12.5","10.78","0.1077032961426901"
"theta047","0.47","-16.33394573035923","76.999992","3.208333","17.5","11.09","0.1077032961426901"
"theta047","0.47","-16.33394573035923","78.0","3.25","2.5","3.03","0.1077032961426901"
"theta047","0.47","-16.33394573035923","78.0","3.25","7.5","3.74","0.1077032961426901"
"theta047","0.47","-16.33394573035923","78.0","3.25","12.5","10.78","0.1077032961426901"
"theta047","0.47","-16.33394573035923","78.0","3.25","17.5","11.05","0.1077032961426901"
"theta047","0.47","-16.33394573035923","79.000008","3.291667","2.5","3.03","0.1077032961426901"
"theta047","0.47","-16.33394573035923","79.000008","3.291667","7.5","3.71","0.1077032961426901"
"theta047","0.47","-16.33394573035923","79.000008","3.291667","12.5","10.70","0.1077032961426901"
"theta047","0.47","-16.33394573035923","79.000008","3.291667","17.5","11.01","0.1077032961426901"
"theta047","0.47","-16.33394573035923","79.999992","3.333333","2.5","3.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","79.999992","3.333333","7.5","3.60","0.1077032961426901"
"theta047","0.47","-16.33394573035923","79.999992","3.333333","12.5","10.70","0.1077032961426901"
"theta047","0.47","-16.33394573035923","79.999992","3.333333","17.5","11.11","0.1077032961426901"
"theta047","0.47","-16.33394573035923","81.0","3.375","2.5","2.99","0.1077032961426901"
"theta047","0.47","-16.33394573035923","81.0","3.375","7.5","3.69","0.1077032961426901"
"theta047","0.47","-16.33394573035923","81.0","3.375","12.5","10.75","0.1077032961426901"
"theta047","0.47","-16.33394573035923","81.0","3.375","17.5","11.02","0.1077032961426901"
"theta047","0.47","-16.33394573035923","82.000008","3.416667","2.5","3.01","0.1077032961426901"
"theta047","0.47","-16.33394573035923","82.000008","3.416667","7.5","3.73","0.1077032961426901"
"theta047","0.47","-16.33394573035923","82.000008","3.416667","12.5","10.78","0.1077032961426901"
"theta047","0.47","-16.33394573035923","82.000008","3.416667","17.5","10.99","0.1077032961426901"
"theta047","0.47","-16.33394573035923","82.999992","3.458333","2.5","3.05","0.1077032961426901"
"theta047","0.47","-16.33394573035923","82.999992","3.458333","7.5","3.62","0.1077032961426901"
"theta047","0.47","-16.33394573035923","82.999992","3.458333","12.5","10.61","0.1077032961426901"
"theta047","0.47","-16.33394573035923","82.999992","3.458333","17.5","11.00","0.1077032961426901"
"theta047","0.47","-16.33394573035923","84.0","3.5","2.5","2.91","0.1077032961426901"
"theta047","0.47","-16.33394573035923","84.0","3.5","7.5","3.55","0.1077032961426901"
"theta047","0.47","-16.33394573035923","84.0","3.5","12.5","10.69","0.1077032961426901"
"theta047","0.47","-16.33394573035923","84.0","3.5","17.5","11.00","0.1077032961426901"
"theta047","0.47","-16.33394573035923","85.000008","3.541667","2.5","3.03","0.1077032961426901"
"theta047","0.47","-16.33394573035923","85.000008","3.541667","7.5","3.55","0.1077032961426901"
"theta047","0.47","-16.33394573035923","85.000008","3.541667","12.5","10.72","0.1077032961426901"
"theta047","0.47","-16.33394573035923","85.000008","3.541667","17.5","11.07","0.1077032961426901"
"theta047","0.47","-16.33394573035923","85.999992","3.583333","2.5","2.97","0.1077032961426901"
"theta047","0.47","-16.33394573035923","85.999992","3.583333","7.5","3.53","0.1077032961426901"
"theta047","0.47","-16.33394573035923","85.999992","3.583333","12.5","10.60","0.1077032961426901"
"theta047","0.47","-16.33394573035923","85.999992","3.583333","17.5","11.07","0.1077032961426901"
"theta047","0.47","-16.33394573035923","87.0","3.625","2.5","2.83","0.1077032961426901"
"theta047","0.47","-16.33394573035923","87.0","3.625","7.5","3.55","0.1077032961426901"
"theta047","0.47","-16.33394573035923","87.0","3.625","12.5","10.56","0.1077032961426901"
"theta047","0.47","-16.33394573035923","87.0","3.625","17.5","11.01","0.1077032961426901"
"theta047","0.47","-16.33394573035923","88.000008","3.666667","2.5","2.97","0.1077032961426901"
"theta047","0.47","-16.33394573035923","88.000008","3.666667","7.5","3.45","0.1077032961426901"
"theta047","0.47","-16.33394573035923","88.000008","3.666667","12.5","10.64","0.1077032961426901"
"theta047","0.47","-16.33394573035923","88.000008","3.666667","17.5","11.05","0.1077032961426901"
"theta047","0.47","-16.33394573035923","88.999992","3.708333","2.5","2.95","0.1077032961426901"
"theta047","0.47","-16.33394573035923","88.999992","3.708333","7.5","3.43","0.1077032961426901"
"theta047","0.47","-16.33394573035923","88.999992","3.708333","12.5","10.63","0.1077032961426901"
"theta047","0.47","-16.33394573035923","88.999992","3.708333","17.5","11.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","90.0","3.75","2.5","2.97","0.1077032961426901"
"theta047","0.47","-16.33394573035923","90.0","3.75","7.5","3.42","0.1077032961426901"
"theta047","0.47","-16.33394573035923","90.0","3.75","12.5","10.58","0.1077032961426901"
"theta047","0.47","-16.33394573035923","90.0","3.75","17.5","11.09","0.1077032961426901"
"theta047","0.47","-16.33394573035923","91.000008","3.791667","2.5","2.93","0.1077032961426901"
"theta047","0.47","-16.33394573035923","91.000008","3.791667","7.5","3.39","0.1077032961426901"
"theta047","0.47","-16.33394573035923","91.000008","3.791667","12.5","10.55","0.1077032961426901"
"theta047","0.47","-16.33394573035923","91.000008","3.791667","17.5","11.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","91.999992","3.833333","2.5","2.95","0.1077032961426901"
"theta047","0.47","-16.33394573035923","91.999992","3.833333","7.5","3.48","0.1077032961426901"
"theta047","0.47","-16.33394573035923","91.999992","3.833333","12.5","10.65","0.1077032961426901"
"theta047","0.47","-16.33394573035923","91.999992","3.833333","17.5","11.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","93.0","3.875","2.5","2.96","0.1077032961426901"
"theta047","0.47","-16.33394573035923","93.0","3.875","7.5","3.36","0.1077032961426901"
"theta047","0.47","-16.33394573035923","93.0","3.875","12.5","10.50","0.1077032961426901"
"theta047","0.47","-16.33394573035923","93.0","3.875","17.5","11.07","0.1077032961426901"
"theta047","0.47","-16.33394573035923","94.000008","3.916667","2.5","2.89","0.1077032961426901"
"theta047","0.47","-16.33394573035923","94.000008","3.916667","7.5","3.38","0.1077032961426901"
"theta047","0.47","-16.33394573035923","94.000008","3.916667","12.5","10.55","0.1077032961426901"
"theta047","0.47","-16.33394573035923","94.000008","3.916667","17.5","11.03","0.1077032961426901"
"theta047","0.47","-16.33394573035923","94.999992","3.958333","2.5","3.02","0.1077032961426901"
"theta047","0.47","-16.33394573035923","94.999992","3.958333","7.5","3.35","0.1077032961426901"
"theta047","0.47","-16.33394573035923","94.999992","3.958333","12.5","10.55","0.1077032961426901"
"theta047","0.47","-16.33394573035923","94.999992","3.958333","17.5","10.98","0.1077032961426901"
"theta047","0.47","-16.33394573035923","96.0","4.0","2.5","2.92","0.1077032961426901"
"theta047","0.47","-16.33394573035923","96.0","4.0","7.5","3.30","0.1077032961426901"
"theta047","0.47","-16.33394573035923","96.0","4.0","12.5","10.51","0.1077032961426901"
"theta047","0.47","-16.33394573035923","96.0","4.0","17.5","11.05","0.1077032961426901"
"theta047","0.47","-16.33394573035923","96.999984","4.041666","2.5","2.84","0.1077032961426901"
"theta047","0.47","-16.33394573035923","96.999984","4.041666","7.5","3.41","0.1077032961426901"
"theta047","0.47","-16.33394573035923","96.999984","4.041666","12.5","10.46","0.1077032961426901"
"theta047","0.47","-16.33394573035923","96.999984","4.041666","17.5","11.05","0.1077032961426901"
"theta047","0.47","-16.33394573035923","98.000016","4.083334","2.5","2.88","0.1077032961426901"
"theta047","0.47","-16.33394573035923","98.000016","4.083334","7.5","3.33","0.1077032961426901"
"theta047","0.47","-16.33394573035923","98.000016","4.083334","12.5","10.47","0.1077032961426901"
"theta047","0.47","-16.33394573035923","98.000016","4.083334","17.5","10.98","0.1077032961426901"
"theta047","0.47","-16.33394573035923","99.0","4.125","2.5","2.85","0.1077032961426901"
"theta047","0.47","-16.33394573035923","99.0","4.125","7.5","3.29","0.1077032961426901"
"theta047","0.47","-16.33394573035923","99.0","4.125","12.5","10.46","0.1077032961426901"
"theta047","0.47","-16.33394573035923","99.0","4.125","17.5","10.94","0.1077032961426901"
"theta047","0.47","-16.33394573035923","99.999984","4.166666","2.5","2.82","0.1077032961426901"
"theta047","0.47","-16.33394573035923","99.999984","4.166666","7.5","3.29","0.1077032961426901"
"theta047","0.47","-16.33394573035923","99.999984","4.166666","12.5","10.46","0.1077032961426901"
"theta047","0.47","-16.33394573035923","99.999984","4.166666","17.5","11.06","0.1077032961426901"
"theta047","0.47","-16.33394573035923","101.000016","4.208334","2.5","2.83","0.1077032961426901"
"theta047","0.47","-16.33394573035923","101.000016","4.208334","7.5","3.29","0.1077032961426901"
"theta047","0.47","-16.33394573035923","101.000016","4.208334","12.5","10.48","0.1077032961426901"
"theta047","0.47","-16.33394573035923","101.000016","4.208334","17.5","11.01","0.1077032961426901"
"theta047","0.47","-16.33394573035923","102.0","4.25","2.5","3.00","0.1077032961426901"
"theta047","0.47","-16.33394573035923","102.0","4.25","7.5","3.22","0.1077032961426901"
"theta047","0.47","-16.33394573035923","102.0","4.25","12.5","10.35","0.1077032961426901"
"theta047","0.47","-16.33394573035923","102.0","4.25","17.5","11.02","0.1077032961426901"
"theta047","0.47","-16.33394573035923","102.999984","4.291666","2.5","2.89","0.1077032961426901"
"theta047","0.47","-16.33394573035923","102.999984","4.291666","7.5","3.30","0.1077032961426901"
"theta047","0.47","-16.33394573035923","102.999984","4.291666","12.5","10.44","0.1077032961426901"
"theta047","0.47","-16.33394573035923","102.999984","4.291666","17.5","10.98","0.1077032961426901"
"theta047","0.47","-16.33394573035923","104.000016","4.333334","2.5","2.93","0.1077032961426901"
"theta047","0.47","-16.33394573035923","104.000016","4.333334","7.5","3.25","0.1077032961426901"
"theta047","0.47","-16.33394573035923","104.000016","4.333334","12.5","10.42","0.1077032961426901"
"theta047","0.47","-16.33394573035923","104.000016","4.333334","17.5","10.94","0.1077032961426901"
"theta047","0.47","-16.33394573035923","105.0","4.375","2.5","2.96","0.1077032961426901"
"theta047","0.47","-16.33394573035923","105.0","4.375","7.5","3.24","0.1077032961426901"
"theta047","0.47","-16.33394573035923","105.0","4.375","12.5","10.29","0.1077032961426901"
"theta047","0.47","-16.33394573035923","105.0","4.375","17.5","11.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","105.999984","4.416666","2.5","2.89","0.1077032961426901"
"theta047","0.47","-16.33394573035923","105.999984","4.416666","7.5","3.28","0.1077032961426901"
"theta047","0.47","-16.33394573035923","105.999984","4.416666","12.5","10.33","0.1077032961426901"
