"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd"
"theta020","0.2","-166.9363086307076","46.000008","1.916667","12.5","11.08","0.1077032961426901"
"theta020","0.2","-166.9363086307076","46.000008","1.916667","17.5","11.03","0.1077032961426901"
"theta020","0.2","-166.9363086307076","46.999992000000006","1.958333","2.5","4.18","0.1077032961426901"
"theta020","0.2","-166.9363086307076","46.999992000000006","1.958333","7.5","10.82","0.1077032961426901"
"theta020","0.2","-166.9363086307076","46.999992000000006","1.958333","12.5","11.04","0.1077032961426901"
"theta020","0.2","-166.9363086307076","46.999992000000006","1.958333","17.5","10.99","0.1077032961426901"
"theta020","0.2","-166.9363086307076","48.0","2.0","2.5","3.97","0.1077032961426901"
"theta020","0.2","-166.9363086307076","48.0","2.0","7.5","10.74","0.1077032961426901"
"theta020","0.2","-166.9363086307076","48.0","2.0","12.5","11.02","0.1077032961426901"
"theta020","0.2","-166.9363086307076","48.0","2.0","17.5","11.06","0.1077032961426901"
"theta020","0.2","-166.9363086307076","49.000008","2.041667","2.5","4.00","0.1077032961426901"
"theta020","0.2","-166.9363086307076","49.000008","2.041667","7.5","10.81","0.1077032961426901"
"theta020","0.2","-166.9363086307076","49.000008","2.041667","12.5","10.98","0.1077032961426901"
"theta020","0.2","-166.9363086307076","49.000008","2.041667","17.5","10.97","0.1077032961426901"
"theta020","0.2","-166.9363086307076","49.999992000000006","2.083333","2.5","3.90","0.1077032961426901"
"theta020","0.2","-166.9363086307076","49.999992000000006","2.083333","7.5","10.84","0.1077032961426901"
"theta020","0.2","-166.9363086307076","49.999992000000006","2.083333","12.5","10.98","0.1077032961426901"
"theta020","0.2","-166.9363086307076","49.999992000000006","2.083333","17.5","10.90","0.1077032961426901"
"theta020","0.2","-166.9363086307076","51.0","2.125","2.5","3.95","0.1077032961426901"
"theta020","0.2","-166.9363086307076","51.0","2.125","7.5","10.74","0.1077032961426901"
"theta020","0.2","-166.9363086307076","51.0","2.125","12.5","11.01","0.1077032961426901"
"theta020","0.2","-166.9363086307076","51.0","2.125","17.5","11.01","0.1077032961426901"
"theta020","0.2","-166.9363086307076","52.000008","2.166667","2.5","3.86","0.1077032961426901"
"theta020","0.2","-166.9363086307076","52.000008","2.166667","7.5","10.80","0.1077032961426901"
